Array Design Name	Affymetrix GeneChip Yeast Genome 2.0 Array [Yeast_2]
Comment[AdditionalFile:CDF]	Yeast_2.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-47
Comment[SubmittedName]	Affymetrix GeneChip Yeast Genome 2.0 Array [Yeast_2]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	#in_situ_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	unknown_surface_type
Surface Type Term Accession Number	#unknown_surface_type
Surface Type Term Source REF	The MGED Ontology
Term Source Name	The MGED Ontology	affymetrix_netaffx	cp450	ec	embl	genbank	go	interpro	pkr_hanks	scop	sgd
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ncbi.nlm.nih.gov/Genbank/index.html	http://godatabase.org	http://www.ebi.ac.uk/interpro	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://scop.berkeley.edu	http://genome-www.stanford.edu/Saccharomyces/
Term Source Version										
Comment[AdditionalFile:txt]	A-AFFY-47_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[interpro]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[scop]	Composite Element Database Entry[ec]	Composite Element Database Entry[go]	Composite Element Database Entry[genbank]	Composite Element Database Entry[sgd]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]
1779905_at	YER065C.S1	IPR000918	1779905_at			GO:0004451	NP_010987	S0000867		
1771712_at	YER066W.S1	IPR001680	1771712_at				1NEX	S0000868		
1777753_at	YER067W.S1		1777753_at			GO:0005737	NP_984031	S0000869		
1777404_at	YER068W.S1	IPR000504	1777404_at			GO:0016564	CAD56154	S0000870		
1770455_at	YER069W.S1	IPR000534	1770455_at			GO:0005759	NP_010992	S0000871		
1778919_at	YER070W.S1	IPR000788	1778919_at			GO:0005737	NP_010993	S0000872		
1778354_at	YER071C.S1		1778354_at			GO:0005737	NP_010994	S0000873		
1779379_at	YER072W.S1		1779379_at			GO:0005774	EAK86461	S0000874		
1771943_at	YER073W.S1	IPR002086	1771943_at			GO:0005739	NP_010996	S0000875		
1777817_at	YER074W.S1		1777817_at							
1776365_s_at	YER074W.S1	IPR001976	1776365_s_at			GO:0003735	EAA61930	S0001331		
1776695_at	YER074W-A.S1		1776695_at				NP_219496	S0007651		
1776623_at	YER075C.S1	IPR000242	1776623_at			GO:0005737	EAA61628	S0000877		
1776646_at	YER076C.S1		1776646_at			GO:0005624	P22313	S0000878		
1780030_at	YER077C.S1		1780030_at			GO:0005739	NP_011000	S0000879		
1774979_at	YER078C.S1	IPR000994	1774979_at	a.3.1.Two-domain cytochrome c		GO:0008451	EAL01193	S0000880		
1774063_at	YER078W-A.S1		1774063_at				NP_878068	S0028546		
1773234_at	YER079W.S1		1773234_at			GO:0005737	NP_011002	S0000881		
1775004_at	YER080W.S1		1775004_at			GO:0005739	EAK99203	S0000882		
1779031_at	YER081W.S1	IPR002912	1779031_at			GO:0005737	NP_011004	S0000883		
1777602_at	YER082C.S1	IPR001680	1777602_at			GO:0005732	NP_011005	S0000884		
1775500_at	YER083C.S1		1775500_at			GO:0007047	NP_983368	S0000885		
1772548_at	YER085C.S1		1772548_at				NP_011008	S0000887		
1776603_at	YER086W.S1	IPR001926	1776603_at			GO:0004794	EAK92244	S0000888		
1776689_at	YER087W.S1	IPR002314	1776689_at	a.1.1.Globins		GO:0004827	P78600	S0000889		
1769341_at	YER087C-B.S1	IPR005609	1769341_at			GO:0005784	Q8J2P4	S0002128		
1771527_at	YER088C.S1	IPR001005	1771527_at	a.4.1.Myb		GO:0006357	NP_983639	S0000890		
1771513_at	YER089C.S1	IPR001932	1771513_at			GO:0006986	NP_983641	S0000891		
1776841_at	YER090W.S1	IPR005801	1776841_at			GO:0005950	NP_011014	S0000892		
1774859_at	YER091C.S1	IPR002629	1774859_at			GO:0003871	AAA65711	S0000893		
1778170_at	YER092W.S1		1778170_at			GO:0005634	NP_983162	S0000894		
1770852_at	YER093C.S1	IPR000651	1770852_at	a.4.1.Homeodomain		GO:0030148	EAA52592	S0000895		
1771065_at	YER093C-A.S1		1771065_at				NP_983164	S0002960		
1777720_at	YER094C.S1	IPR001353	1777720_at			GO:0006511	NP_983166	S0000896		
1773120_at	YER095W.S1	IPR000445	1773120_at			GO:0000228	NP_983628	S0000897		
1779267_at	YER096W.S1		1779267_at			GO:0006031	NP_983629	S0000898		
1777276_at	YER098W.S1	IPR001394	1777276_at			GO:0016579	NP_987036	S0000900		
1779140_at	YER099C.S1	IPR000836	1779140_at			GO:0005737	NP_987037	S0000901		
1771651_at	YER100W.S1	IPR000608	1771651_at			GO:0004840	EAK97593	S0000902		
1771536_at	YER101C.S1	IPR002085	1771536_at			GO:0005737	NP_987039	S0000903		
1770501_at	YER102W.S1	IPR001047	1770501_at			GO:0005843	EAK93633	S0000904		
1770202_at	YER103W.S1	IPR001023	1770202_at			GO:0006950	NP_011029	S0000905		
1776502_at	YER104W.S1		1776502_at			GO:0005634	NP_011030	S0000906		
1772186_at	YER105C.S1	IPR004870	1772186_at			GO:0005643	NP_011031	S0000907		
1780089_at	YER106W.S1		1780089_at			GO:0000778	NP_011032	S0000908		
1777821_at	YER107C.S1	IPR001680	1777821_at			GO:0005198	EAK92887	S0000909		
1773015_at	YER109C.S1		1773015_at			GO:0005737	CAD27464	S0000911		
1776015_at	YER110C.S1	IPR001494	1776015_at			GO:0005643	NP_011035	S0000912		
1770133_at	YER111C.S1	IPR002110	1770133_at			GO:0005634	AAG30814	S0000913		
1776666_at	YER112W.S1	IPR001163	1776666_at			GO:0008248	CAC48005	S0000914		
1779077_at	YER113C.S1	IPR004240	1779077_at			GO:0005794	EAA62610	S0000915		
1769418_at	YER114C.S1	IPR001849	1769418_at			GO:0030468	NP_009468	S0000916		
1778095_at	YER115C.S1		1778095_at			GO:0030437	NP_011040	S0000917		
1774296_at	YER116C.S1	IPR001841	1774296_at			GO:0005634	NP_986378	S0000918		
1778439_at	YER117W.S1	IPR000218	1778439_at			GO:0003735	EAK84671	S0000919		
1777369_at	YER118C.S1	IPR001452	1777369_at			GO:0005937	CAB89868	S0000920		
1779959_at	YER119C.S1	IPR002422	1779959_at			GO:0005773	NP_986382	S0000921		
1777498_at	YER120W.S1	IPR000535	1777498_at			GO:0016021	EAK91309	S0000922		
1774279_at	YER122C.S1	IPR001164	1774279_at			GO:0005793	EAK98766	S0000924		
1770672_at	YER123W.S1	IPR000719	1770672_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0000329	NP_984043	S0000925	2.3.3	
1770749_at	YER124C.S1	IPR001680	1770749_at			GO:0007047	EAK95409	S0000926		
1779377_at	YER125W.S1	IPR000569	1779377_at			GO:0010008	NP_011051	S0000927		
1771490_at	YER126C.S1	IPR001047	1771490_at			GO:0005634	NP_588561	S0000928		
1779544_at	YER127W.S1		1779544_at			GO:0000154	EAK97079	S0000929		
1779724_at	YER128W.S1		1779724_at				EAK91904	S0000930		
1774762_at	YER129W.S1	IPR000719	1774762_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0004672	EAK98271	S0000931	2.2.11	
1777510_at	YER130C.S1	IPR007087	1777510_at				EAA48843	S0000932		
1775167_at	YER131W.S1	IPR000892	1775167_at			GO:0005843	NP_985741	S0000933		
1780169_at	YER132C.S1	IPR006652	1780169_at			GO:0005737	NP_985715	S0000934		
1777225_at	YER133W.S1	IPR004843	1777225_at			GO:0005847	EAA57520	S0000935		
1776096_at	YER134C.S1		1776096_at			GO:0005634	NP_983734	S0000936		
1771417_at	YER136W.S1	IPR002005	1771417_at			GO:0005624	NP_011062	S0000938		
1770409_at	YER137C.S1		1770409_at				NP_011063	S0000939		
1776490_s_at	YER138W-A.S1		1776490_s_at							
1770768_at	YER139C.S1	IPR007308	1770768_at			GO:0005737	NP_010351	S0000941		
1770271_at	YER140W.S1	IPR008010	1770271_at			GO:0005739	NP_985723	S0000942		
1778093_at	YER141W.S1	IPR003780	1778093_at			GO:0016653	EAK92097	S0000943		
1770191_at	YER142C.S1	IPR003265	1770191_at			GO:0005634	EAK95419	S0000944		
1779609_at	YER143W.S1	IPR000449	1779609_at			GO:0005886	XP_324649	S0000945		
1773344_at	YER144C.S1	IPR001394	1773344_at			GO:0004843	NP_985554	S0000946		
1777853_at	YER145C.S1	IPR004923	1777853_at			GO:0005886	NP_984566	S0000947		
1771836_at	YER146W.S1	IPR001163	1771836_at			GO:0030532	NP_036454	S0000948		
1779843_at	YER147C.S1		1779843_at			GO:0000790	NP_986799	S0000949		
1772121_at	YER148W.S1	IPR000814	1772121_at			GO:0005634	NP_986800	S0000950		
1770865_at	YER149C.S1		1770865_at			GO:0005519	NP_986801	S0000951		
1771705_at	YER150W.S1		1771705_at			GO:0009277	AAN62898	S0000952		
1776269_at	YER151C.S1	IPR001394	1776269_at			GO:0005737	AAG30819	S0000953		
1778711_at	YER152C.S1		1778711_at		(P23599) 1-aminocyclopropane-1-carboxylate synthase CMW33 (EC 4.4.1.14) (ACC synthase) (S-adenosyl-L-methionine methylthioadenosine-lyase)	GO:0005737	EAK93107	S0000954		
1775189_at	YER153C.S1	IPR008732	1775189_at			GO:0045182	CAA30439	S0000955		
1773053_at	YER154W.S1	IPR001708	1773053_at			GO:0008565	NP_986809	S0000956		
1777126_at	YER155C.S1	IPR000198	1777126_at			GO:0005739	EAL02075	S0000957		
1775737_at	YER156C.S1	IPR003226	1775737_at			GO:0005634	EAK93792	S0000958		
1778664_at	YER157W.S1	IPR007265	1778664_at			GO:0000300	EAK94785	S0000959		
1779403_at	YER158C.S1		1779403_at				NP_011085	S0000960		
1775918_at	YER159C.S1	IPR003958	1775918_at			GO:0005634	EAL01406	S0000961		
1774689_at	YER161C.S1		1774689_at			GO:0005634	EAL00833	S0000963		
1773460_at	YER162C.S1	IPR004583	1773460_at			GO:0000108	EAL00829	S0000964		
1771763_at	YER163C.S1	IPR006840	1771763_at			GO:0005737	EAK91077	S0000965		
1776167_at	YER164W.S1	IPR001005	1776167_at			GO:0008023	NP_011091	S0000966		
1773353_at	YER165W.S1	IPR002004	1773353_at			GO:0005737	AAA34838	S0000967		
1772590_at	YER166W.S1		1772590_at		(Q9NTI2) Potential phospholipid-transporting ATPase IB (EC 3.6.3.1) (ATPase class I type 8A member 2) (ML-1)	GO:0005886	NP_011093	S0000968		
1769823_at	YER167W.S1		1769823_at			GO:0005634	NP_765804	S0000969		
1771293_at	YER168C.S1	IPR002646	1771293_at	a.4.5.Forkhead DNA-binding domain		GO:0005634	AAG00316	S0000970		
1773383_at	YER169W.S1	IPR007087	1773383_at			GO:0016566	EAL01653	S0000971		
1771081_at	YER170W.S1	IPR007862	1771081_at			GO:0005743	NP_986781	S0000972		
1776921_at	YER171W.S1	IPR010643	1776921_at			GO:0000112	NP_011098	S0000973		
1770228_at	YER172C.S1	IPR004179	1770228_at			GO:0005682	NP_011099	S0000974		
1774857_at	YER173W.S1	IPR004582	1774857_at			GO:0005634	EAL01398	S0000975		
1775649_at	YER174C.S1	IPR006662	1775649_at			GO:0005622	NP_986777	S0000976		
1778246_at	YER175C.S1		1778246_at			GO:0005829	EAK99565	S0000977		
1776120_at	YER175W-A.S1		1776120_at				NP_878069	S0028625		
1771007_at	YER176W.S1		1771007_at			GO:0006449	EAK92553	S0000978		
1772282_at	YER177W.S1	IPR000308	1772282_at			GO:0003677	O42766	S0000979		
1772204_at	YER178W.S1	IPR001017	1772204_at				DEBYPA			
1779809_at	YER179W.S1		1779809_at	a.140.2.SAP domain		GO:0003697	P50265	S0000981		
1773241_at	YER180C.S1		1773241_at			GO:0030435	NP_011107	S0000982		
1778025_at	YER180C-A.S1		1778025_at			GO:0005737	NP_796378	S0028437		
1773424_at	YER182W.S1		1773424_at			GO:0005739	EAL03093	S0000984		
1770451_at	YER183C.S1	IPR002698	1770451_at			GO:0005739	EAK93685	S0000985		
1777991_at	YER184C.S1	IPR001138	1777991_at				NP_011502	S0000986		
1779410_at	YER185W.S1	IPR007568	1779410_at			GO:0016021	P40113	S0000987		
1770095_at	YER186C.S1		1770095_at				NP_011113	S0000988		
1778200_at	YER187W.S1		1778200_at				P39690	S0000989		
1777149_at	YER188C-A.S1	IPR007414	1777149_at				P43541	S0028764		
1775564_at	YFL068W.S1		1775564_at				AAL79307	S0001826		
1769759_at	YFL067W.S1		1769759_at				NP_116588	S0001827		
1777553_s_at	YFL065C.S1	IPR001650	1777553_s_at	a.2.11.Fe,Mn superoxide dismutase (SOD), N-terminal domain		GO:0005739	NP_014060	S0006204		
1772122_s_at	YFL064C.S1	IPR001650	1772122_s_at	a.2.11.Fe,Mn superoxide dismutase (SOD), N-terminal domain		GO:0005739	NP_014060	S0006204		
1779503_s_at	YFL062W.S1	IPR001142	1779503_s_at			GO:0000324	NP_014063	S0005280		
1772062_s_at	YFL061W.S1	IPR006674	1772062_s_at				NP_014064	S0005279		
1778453_s_at	YFL060C.S1	IPR002161	1778453_s_at			GO:0008614	NP_983070	S0005278		
1770343_s_at	YFL059W.S1	IPR001852	1770343_s_at			GO:0005515	NP_983069	S0005277		
1773315_at	YFL056C.S1	IPR001395	1773315_at			GO:0006081	NP_014068	S0001838		
1773737_at	YFL055W.S1	IPR004841	1773737_at			GO:0015171	XP_323788	S0001839		
1772292_at	YFL054C.S1	IPR000425	1772292_at			GO:0015250	XP_383956	S0001840		
1776664_at	YFL053W.S1	IPR004007	1776664_at			GO:0004371	O60017	S0001841		
1770013_at	YFL052W.S1	IPR007219	1770013_at			GO:0003677	NP_116603	S0001842		
1778805_at	YFL051C.S1	IPR009549	1778805_at				NP_013028	S0001843		
1771045_at	YFL050C.S1	IPR002523	1771045_at			GO:0015082	NP_116604	S0001844		
1769654_at	YFL049W.S1		1769654_at			GO:0005634	NP_983193	S0001845		
1775704_at	YFL048C.S1	IPR005052	1775704_at	a.2.7.Seryl-tRNA synthetase (SerRS)		GO:0006888	NP_013181	S0001846		
1769720_at	YFL047W.S1	IPR000198	1769720_at			GO:0005935	NP_983190	S0001847		
1769844_at	YFL046W.S1		1769844_at			GO:0005739	NP_116608	S0001848		
1769378_at	YFL045C.S1	IPR005002	1769378_at			GO:0004615	P31353	S0001849		
1774767_at	YFL044C.S1	IPR003323	1774767_at			GO:0005737	EAL02352	S0001850		
1776670_at	YFL042C.S1	IPR004182	1776670_at				NP_013173	S0001852		
1780131_at	YFL041W-A.S1		1780131_at				NP_878071	S0028547		
1773321_at	YFL041W.S1	IPR001117	1773321_at			GO:0004322	EAK92053	S0001853		
1779083_at	YFL040W.S1	IPR005828	1779083_at				EAA64172	S0001854		
1769719_at	YFL039C.S1	IPR004000	1769719_at			GO:0006357	P14235	S0001855		
1777154_at	YFL038C.S1	IPR001806	1777154_at			GO:0005739	AAK83158	S0001856		
1773992_at	YFL037W.S1	IPR008280	1773992_at			GO:0000743	CAA24603	S0001857		
1775193_at	YFL036W.S1	IPR002092	1775193_at			GO:0006390	NP_116617	S0001858		
1769374_at	YFL034C-B.S1	IPR005301	1769374_at			GO:0005937	EAL00000	S0001859		
1769929_at	YFL034C-A.S1	IPR002671	1769929_at			GO:0006412	NP_983623	S0006436		
1778283_at	YFL034W.S1	IPR007941	1778283_at			GO:0016021	XP_331946	S0001860		
1773664_at	YFL033C.S1	IPR000719	1773664_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0005737	XP_381488	S0001861	1.2.17	
1777544_at	YFL031W.S1		1777544_at			GO:0005634	NP_983618	S0001863		
1770767_at	YFL030W.S1	IPR000192	1770767_at			GO:0005739	EAA54540	S0001864		
1775791_at	YFL029C.S1	IPR000719	1775791_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0005737	CAD36965	S0001865	2.1.17	
1770376_at	YFL028C.S1	IPR003439	1770376_at			GO:0030014	EAK92668	S0001866		
1775387_at	YFL027C.S1		1775387_at			GO:0005622	EAL01920	S0001867		
1773157_at	YFL026W.S1	IPR000366	1773157_at			GO:0005887	P12384	S0001868		
1775355_at	YFL025C.S1		1775355_at			GO:0016021	XP_328727	S0001869		
1775424_at	YFL024C.S1		1775424_at			GO:0004402	EAK99771	S0001870		
1772203_at	YFL023W.S1	IPR004127	1772203_at	a.4.5.MarR-like transcriptional regulators		GO:0005737	EAK95536	S0001871		
1779336_at	YFL022C.S1	IPR002319	1779336_at			GO:0009328	EAL02379	S0001872		
1776687_at	YFL021W.S1	IPR000679	1776687_at			GO:0005634	EAK85301	S0001873		
1771323_at	YFL020C.S1	IPR000992	1771323_at				NP_012685	S0001874		
1770897_x_at	YFL020C.S1	IPR000992	1770897_x_at				NP_012685	S0001874		
1772674_at	YFL018C.S1	IPR004099	1772674_at				NP_116635			
1772060_at	YFL017W-A.S1	IPR001163	1772060_at			GO:0030532	NP_986058	S0002965		
1771863_at	YFL017C.S1	IPR000182	1771863_at			GO:0005737	EAL02141	S0001877		
1776246_at	YFL016C.S1	IPR001305	1776246_at	a.2.3.Chaperone J-domain		GO:0005743	EAK92195	S0001878		
1779754_at	YFL014W.S1	IPR007250	1779754_at			GO:0005886	EAK95526	S0001880		
1772820_at	YFL013C.S1		1772820_at			GO:0005634	NP_986638	S0001881		
1769515_at	YFL012W.S1		1769515_at				NP_116643	S0001882		
1779494_at	YFL011W.S1	IPR005828	1779494_at			GO:0008645	NP_116644	S0001883		
1778800_at	YFL010W-A.S1		1778800_at	a.4.1.AraC type transcriptional activator		GO:0006865	NP_116645	S0001955		
1776379_at	YFL010C.S1	IPR001202	1776379_at			GO:0005634	T18240	S0001884		
1772682_at	YFL009W.S1	IPR001680	1772682_at			GO:0005515	NP_116585	S0001885		
1771900_at	YFL008W.S1	IPR003405	1771900_at	a.2.9.C-terminal UvrC-binding domain of UvrB		GO:0000798	NP_116647	S0001886		
1775631_at	YFL007W.S1		1775631_at	a.4.1.Tetracyclin repressor-like, N-terminal domain		GO:0016020	NP_116648	S0001887		
1772243_at	YFL005W.S1	IPR001806	1772243_at			GO:0030133	JC7589	S0001889		
1771745_at	YFL004W.S1	IPR004331	1771745_at			GO:0042144	NP_015306	S0001890		
1776312_at	YFL003C.S1	IPR000432	1776312_at			GO:0000228	O94065	S0001891		
1775078_at	YFL002C.S1	IPR001650	1775078_at			GO:0005730	EAK91898	S0001894		
1779033_at	YFL001W.S1	IPR001406	1779033_at			GO:0005737	EAK91897	S0001895		
1771881_at	YFR001W.S1		1771881_at			GO:0003729	EAL02802	S0001897		
1771675_at	YFR002W.S1	IPR007231	1771675_at			GO:0005198	EAL00568	S0001898		
1775392_at	YFR003C.S1		1775392_at			GO:0004864	EAK96012	S0001899		
1770323_at	YFR004W.S1	IPR000555	1770323_at			GO:0006511	EAK96026	S0001900		
1772942_at	YFR005C.S1		1772942_at			GO:0008248	NP_986672	S0001901		
1780071_at	YFR006W.S1	IPR000994	1780071_at			GO:0008451	EAK96025	S0001902		
1774565_at	YFR007W.S1		1774565_at				NP_986611	S0001903		
1772962_at	YFR008W.S1		1772962_at			GO:0000751	NP_984567	S0001904		
1772832_at	YFR009W.S1	IPR003439	1772832_at			GO:0005830	NP_984829	S0001905		
1779703_at	YFR010W.S1	IPR001394	1779703_at			GO:0005838	EAL00019	S0001906		
1773355_at	YFR011C.S1		1773355_at			GO:0005737	NP_984833	S0001907		
1777184_at	YFR012W.S1		1777184_at				NP_116667	S0001908		
1774245_at	YFR012W-A.S1		1774245_at				NP_076889	S0007606		
1775395_at	YFR013W.S1		1775395_at			GO:0016587	NP_014625	S0001909		
1773728_at	YFR014C.S1	IPR000719	1773728_at		(Q96Q40) Serine/threonine-protein kinase ALS2CR7 (EC 2.7.1.37) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene protein 7)	GO:0005737	NP_116669	S0001910	2.1.11	
1773444_at	YFR015C.S1	IPR008631	1773444_at			GO:0005737	NP_116670	S0001911		
1771186_at	YFR016C.S1		1771186_at			GO:0005737	NP_982547	S0001912		
1773415_at	YFR017C.S1		1773415_at			GO:0005737	NP_116672	S0001913		
1773382_at	YFR018C.S1	IPR005191	1773382_at				NP_788550	S0001914		
1771219_at	YFR019W.S1	IPR002423	1771219_at			GO:0006644	P34756	S0001915		
1774082_at	YFR021W.S1	IPR001680	1774082_at			GO:0030437	AAL67674	S0001917		
1772831_at	YFR022W.S1	IPR000698	1772831_at				NP_984269	S0001918		
1774858_at	YFR023W.S1	IPR000504	1774858_at				NP_011879	S0001919		
1778371_at	YFR024C-A.S1	IPR007461	1778371_at			GO:0005739	NP_984844	S0002968		
1771609_at	YFR025C.S1	IPR004013	1771609_at			GO:0005622	NP_984839	S0001921		
1776309_at	YFR026C.S1		1776309_at				NP_116682	S0001922		
1780054_at	YFR027W.S1		1780054_at			GO:0006281	EAK98552	S0001923		
1779003_at	YFR028C.S1	IPR000340	1779003_at			GO:0005730	BAA09533.1	S0001924		
1776224_at	YFR029W.S1		1776224_at			GO:0019897	EAK93697	S0001925		
1770319_at	YFR030W.S1	IPR003097	1770319_at	a.2.4.Theta subunit of DNA polymerase III		GO:0009337	BAA08076.1	S0001926		
1780129_at	YFR031C.S1	IPR003405	1780129_at	a.2.7.Seryl-tRNA synthetase (SerRS)		GO:0005739	NP_116687	S0001927		
1776370_at	YFR031C-A.S1		1776370_at							
1780178_s_at	YFR031C-A.S1	IPR002171	1780178_s_at			GO:0003735	NP_524726	S0001280		
1770450_at	YFR032C.S1	IPR000504	1770450_at				NP_983970	S0001928		
1778303_at	YFR032C-A.S1	IPR002673	1778303_at			GO:0005737	XP_322401	S0006437		
1776251_at	YFR032C-B.S1		1776251_at				NP_878072	S0028630		
1770858_at	YFR033C.S1		1770858_at			GO:0008121	XP_389665	S0001929		
1777797_at	YFR034C.S1	IPR001092	1777797_at			GO:0005634	NP_983973	S0001930		
1770367_at	YFR035C.S1		1770367_at				NP_116693	S0001931		
1769793_at	YFR036W.S1		1769793_at			GO:0005680	CAA34978	S0001932		
1780224_at	YFR037C.S1	IPR001005	1780224_at	a.2.7.Methicillin resistance protein FemA probable tRNA-binding		GO:0005634	EAK95996	S0001933		
1770089_at	YFR038W.S1	IPR000330	1770089_at			GO:0004386	EAL02881	S0001934		
1771393_at	YFR039C.S1		1771393_at				NP_985791	S0001935		
1777029_at	YFR040W.S1	IPR007587	1777029_at			GO:0005737	NP_985792	S0001936		
1775241_at	YFR041C.S1	IPR001623	1775241_at	a.2.3.Chaperone J-domain		GO:0005783	NP_985793	S0001937		
1774227_at	YFR042W.S1		1774227_at				NP_985794	S0001938		
1779213_at	YFR043C.S1		1779213_at				NP_985795	S0001939		
1773337_at	YFR044C.S1	IPR002933	1773337_at			GO:0005739	NP_116702	S0001940		
1770639_at	YFR045W.S1	IPR001993	1770639_at			GO:0005215	NP_594420	S0001941		
1777609_at	YFR046C.S1		1777609_at			GO:0007126	NP_116704	S0001942		
1777603_at	YFR047C.S1	IPR002638	1777603_at			GO:0005737	EAK98628	S0001943		
1770527_at	YFR048W.S1	IPR003734	1770527_at			GO:0005737	NP_985812	S0001944		
1780014_at	YFR049W.S1		1780014_at			GO:0005763	NP_985807	S0001945		
1770578_at	YFR050C.S1	IPR001353	1770578_at			GO:0006511	EAL01835	S0001946		
1773173_at	YFR051C.S1		1773173_at	a.4.5.LysR-like transcriptional regulators		GO:0005515	EAL01708	S0001947		
1777244_at	YFR052W.S1	IPR006746	1777244_at			GO:0006511	EAK93392	S0001948		
1775976_at	YFR053C.S1	IPR001312	1775976_at				CAA27202			
1773727_at	YFR055W.S1	IPR000277	1773727_at			GO:0006878	NP_403930	S0001952		
1776208_at	YFR057W.S1		1776208_at				NP_116715	S0001953		
1779143_at	YGL263W.S1	IPR001142	1779143_at				NP_014063	S0003232		
1775539_at	YGL262W.S1		1775539_at				NP_011252	S0003231		
1771083_at	YGL259W.S1		1771083_at			GO:0004190	NP_012305	S0003228		
1777239_at	YGL258W-A.S1		1777239_at				NP_076890	S0007607		
1773996_at	YGL258W.S1		1773996_at							
1772416_at	YGL257C.S1		1772416_at			GO:0006493	NP_982726	S0003226		
1778317_at	YGL256W.S1	IPR001670	1778317_at			GO:0004024	NP_902398	S0003225		
1779979_at	YGL255W.S1	IPR003689	1779979_at			GO:0005887	AAT11930	S0003224		
1771100_at	YGL254W.S1	IPR007087	1771100_at			GO:0003700	EAK91019	S0003223		
1770167_at	YGL253W.S1		1770167_at							
1769907_at	YGL252C.S1	IPR003695	1769907_at			GO:0005737	XP_391417	S0003221		
1778984_at	YGL251C.S1	IPR004179	1778984_at			GO:0005634	EAA52772	S0003220		
1772763_at	YGL250W.S1		1772763_at			GO:0005737	NP_985823	S0003219		
1779764_at	YGL249W.S1		1779764_at			GO:0007130	NP_011265	S0003218		
1777854_at	YGL248W.S1	IPR000396	1777854_at			GO:0019933	NP_588337	S0003217		
1777686_at	YGL247W.S1		1777686_at			GO:0006611	NP_985808	S0003216		
1777489_at	YGL246C.S1		1777489_at			GO:0005634	NP_985809	S0003215		
1776080_at	YGL245W.S1	IPR000924	1776080_at			GO:0004818	AAA78905	S0003214		
1778936_at	YGL244W.S1	IPR004343	1778936_at			GO:0006368	NP_595507	S0003213		
1775822_at	YGL243W.S1	IPR002466	1775822_at			GO:0005634	NP_985814	S0003212		
1771649_at	YGL242C.S1	IPR002110	1771649_at				EAL01556	S0003211		
1777902_at	YGL241W.S1	IPR001494	1777902_at	a.2.3.Chaperone J-domain		GO:0006606	EAL01533	S0003210		
1770636_at	YGL240W.S1	IPR004939	1770636_at			GO:0005680	NP_595803	S0003209		
1771331_at	YGL238W.S1	IPR005043	1771331_at			GO:0006611	NP_011276	S0003207		
1779236_at	YGL237C.S1	IPR001289	1779236_at			GO:0006109	P53768	S0003206		
1776151_at	YGL236C.S1	IPR002218	1776151_at			GO:0006412	EAA58106	S0003205		
1771904_at	YGL235W.S1		1771904_at				NP_011279	S0003204		
1778252_at	YGL234W.S1	IPR000728	1778252_at			GO:0004641	NP_011280	S0003203		
1780103_at	YGL233W.S1	IPR007225	1780103_at			GO:0005515	XP_382785	S0003202		
1776886_at	YGL232W.S1	IPR004114	1776886_at			GO:0003723	EAK96200	S0003201		
1776198_at	YGL231C.S1	IPR009445	1776198_at			GO:0005783	NP_985796	S0003200		
1777464_at	YGL230C.S1		1777464_at				NP_011284	S0003199		
1772343_at	YGL229C.S1	IPR007587	1772343_at			GO:0005739	CAC42243	S0003198		
1770037_at	YGL228W.S1		1770037_at				NP_116697	S0003197		
1777109_at	YGL227W.S1	IPR003877	1777109_at			GO:0045721	CAF93033	S0003196		
1774050_at	YGL226C-A.S1		1774050_at			GO:0004579	Q92316	S0003194		
1775570_at	YGL226W.S1	IPR004203	1775570_at			GO:0005739	NP_985787	S0003195		
1772248_at	YGL225W.S1		1772248_at			GO:0005338	NP_985783	S0003193		
1773561_at	YGL224C.S1	IPR005834	1773561_at			GO:0008252	NP_010954	S0003192		
1775368_at	YGL223C.S1		1775368_at			GO:0006891	NP_011292	S0003191		
1769379_at	YGL222C.S1		1769379_at			GO:0005737	NP_011293	S0003190		
1778624_at	YGL221C.S1	IPR002678	1778624_at			GO:0005739	NP_588455	S0003189		
