!Gene Symbol	EGF_Baseline	EGF_Stimulus
Fit2	0.45	-0.67
RpS20	5.19	-2.93
CG13024	2.14	-1.53
Ilk	1.06	0.62
Nup44A	0.17	0.52
CG18666	-1.28	0.70
GM130	-0.90	-0.37
CR42532	0.36	-0.73
pkaap	0.91	0.99
CG10514	-1.22	0.54
Hmg-2	-0.88	-1.47
Irk2	1.14	1.08
ssp5	0.85	0.68
CG13671	0.47	1.30
Drsl6	-1.32	1.17
CG42388	1.27	2.02
Dp1	1.16	-0.69
CG16762	0.24	1.23
dmrt11E	1.76	0.63
Cyp313a4	1.12	1.06
Or19a	-0.08	0.93
CG14325	-1.36	-0.25
csul	0.27	0.92
mRpL44	-0.56	1.19
CG6739	0.63	0.79
ktub	0.64	0.91
l(3)04053	0.98	0.78
CG1542	1.00	-1.08
GstE14	0.49	-0.18
mRpS2	-1.23	-0.40
SPR	-1.07	1.10
Dpy-30L2	0.86	0.54
Rip11	1.27	-0.48
Cad74A	0.35	0.37
CG10958	-1.73	0.89
SKIP	1.83	0.86
CG11529	2.11	0.32
CG11670	-1.58	-0.57
Gr36a	-1.17	-1.46
CG13198	1.99	0.72
tld	0.36	-1.45
CG42672	-2.09	-1.22
boss	-0.44	0.55
Mal-A2	1.62	0.56
CG11398	-0.75	-0.16
Ubi-p63E	-1.41	-0.63
RNaseP:RNA	-1.27	-1.02
CG3781	-0.51	0.94
CG34340	1.64	1.04
CG10431	-1.56	0.44
Cyp4d21	-0.61	0.39
CG42246	-0.83	-1.06
Upf1	-1.63	-2.00
Rev1	0.33	1.20
CG14968	0.61	0.83
Rh6	0.94	-0.21
temp	-1.13	0.92
CG14499	0.29	0.52
CG2021	0.52	1.31
Abp1	-0.38	0.81
Cdk9	0.96	2.33
CG10444	0.43	-0.76
CG42633	1.27	1.18
Vps24	1.03	1.08
CG17376	-1.57	-1.09
CG12992	0.53	0.98
CG6685	0.63	-0.47
TTLL3B	0.55	-0.80
Sgs5	-0.59	0.31
CG5292	0.20	0.43
Tsp42Ej	0.56	-0.88
CG15115	1.55	-0.47
CG31419	1.29	-0.62
CG32944	2.15	-0.94
CG31855	-1.65	-1.28
Obp99c	-0.55	-1.02
CG13654	0.10	0.97
CG34251	-1.47	-1.84
X11Lbeta	-0.57	0.59
CG5718	-0.25	0.92
MESR4	-0.34	-0.49
CG31380	-1.06	0.45
CG12910	0.34	-0.99
CG13531	0.94	0.17
CG7813	1.18	0.31
mt:ATPase6	-0.97	0.40
Elp2	-0.47	-0.48
CG10209	0.90	0.26
CG4520	-1.58	-0.12
Ucp4B	0.88	1.08
CG7289	-0.71	0.50
wupA	-1.41	0.67
CG1791	1.64	-0.25
CG2046	-1.70	-0.63
Upf3	-2.35	-1.27
CG16886	-0.53	-0.92
CG7049	0.98	-0.13
CG5326	0.94	-0.64
DppIII	-0.91	0.62
CG4286	-1.95	-1.52
CG31954	0.44	1.05
Pdf	-1.14	-1.38
CG14543	1.01	-2.10
CG14841	-0.88	1.03
Cp38	0.68	-0.77
Prm	-1.37	-0.75
CG7407	-0.54	0.51
Chi	-1.06	0.61
CLS	-1.04	-0.68
Spn28F	0.76	0.46
hebe	-1.25	1.68
Rh7	1.50	-1.69
CG34025	0.38	-0.14
CG1271	-1.99	0.53
CG4744	0.17	0.12
TwdlBeta	0.63	-0.34
CG33689	0.75	0.94
Neos	-1.38	0.52
CG3835	0.24	0.94
CG6928	-0.70	-0.15
CG3526	-0.84	0.59
CG30286	-0.48	-0.46
Erk7	-1.04	0.80
CG33465	0.67	-0.72
Taf11	0.40	1.62
CG7518	-0.53	-1.15
Sirup	-0.80	-0.81
CG13014	-0.63	0.30
CG34382	0.97	-0.73
isopeptidase-T-3	-0.76	0.75
CG12859	0.49	-0.50
CG18343	-1.41	1.11
alpha-Est3	-1.71	1.48
Ppr-Y	1.16	1.22
Phm	-1.25	-1.06
CG2292	-0.28	0.61
Ipp	-1.20	0.58
CG32249	-1.21	0.92
CG15100	-1.10	-1.53
RtGEF	0.63	0.72
Jheh3	0.54	1.41
kz	0.59	-0.68
pll	0.53	1.20
CG7335	-1.62	-0.19
Gs1	-1.26	0.52
put	0.38	0.43
CG9791	0.34	0.57
me31B	1.38	-3.48
CG32104	-0.91	0.74
CG13813	-1.90	0.89
CG15576	-0.92	0.51
CG14270	-0.23	-0.22
CG18606	-1.48	0.59
GluRIID	0.79	0.24
CG11997	0.16	-0.26
CG7024	1.30	-0.79
Gr93a	1.29	0.59
fu2	-1.96	1.01
Vps13	0.66	1.20
CG7409	0.30	1.13
U2af38	-2.50	-0.99
CG30195	-0.87	-0.37
Sclp	-1.51	-0.63
ETHR	1.63	0.36
Pkg21D	-0.90	0.63
CG11586	1.04	0.52
cona	1.50	-0.23
Bap170	-0.77	-1.00
kek6	-0.92	1.54
CG3669	1.53	-0.28
CG30185	-1.13	-0.96
Mat1	0.43	-0.55
CG4065	0.01	-0.41
Trx-2	0.70	0.72
CG11982	-0.23	1.06
CG4061	0.51	0.79
CG3164	1.43	0.57
Myb	1.36	-2.62
Coq2	-0.58	1.34
CG16798	-1.89	-1.27
l(2)35Df	1.39	-1.11
Nup62	0.96	1.37
gk	0.78	1.40
CG4462	-0.93	0.81
CG5773	-1.71	-1.73
CG14562	1.54	1.69
sha	-1.30	0.46
salr	-0.42	0.71
Tif-IA	10.60	-1.61
dan	1.56	-0.59
CG10194	1.00	-0.48
CG13002	0.15	0.45
CG11786	-0.60	0.26
Btk29A	-1.04	1.14
CG17294	0.96	0.86
CG5916	2.31	1.41
RpL29	-0.78	0.94
LIMK1	0.16	1.07
CG18472	-1.41	0.91
CG11425	1.23	0.75
CG3407	2.21	-0.82
CG15556	-0.64	0.76
Ror	0.69	-0.19
CG17186	-0.57	-1.69
CG13725	1.61	-0.75
Taf6	-0.76	0.79
CG4679	-1.84	-0.12
SmE	1.95	0.90
CG8388	-0.59	-1.01
CG10700	0.20	-0.45
tex	-1.40	-0.24
Cyp6v1	0.86	-0.46
CG7371	0.44	1.35
Jon65Ai	-0.70	0.24
Snmp1	1.23	-1.84
CG1671	-0.61	0.62
CG42666	1.61	1.29
Chro	-1.45	-1.77
CG30008	1.06	0.15
CG15894	-0.33	0.50
CG3625	-1.58	-1.63
Su(var)2-10	0.67	-1.42
CG10588	1.48	-0.71
CG11539	-0.76	0.76
CG11600	0.53	-0.58
CG14223	-0.57	0.97
Ir7d	0.77	0.76
Acyp	-1.43	0.57
CG5535	-0.41	-0.19
Ets98B	-0.61	0.70
Ptp52F	-0.58	-0.55
CG15539	-0.96	-0.65
CG14739	1.36	0.50
CG31121	-2.08	-0.23
CG13231	-1.82	-0.26
CG10013	-1.62	1.63
CG12824	-1.54	-0.20
yki	-1.37	0.51
CG12082	-0.07	0.64
CG5819	0.25	2.09
Hydr2	-1.47	0.53
htt	0.95	0.58
CG14357	0.43	2.38
Rab27	-0.16	0.46
MFS16	-0.55	0.37
CG42346	-1.21	-0.88
CG31098	0.21	1.09
CG14095	-0.50	-0.60
zetaCOP	2.05	-3.48
trp	0.61	0.82
CG15771	-0.87	0.36
mino	0.87	-0.58
mey	-1.68	0.41
CG11455	-1.73	0.80
dup	3.85	-4.38
Rim	-2.09	0.59
CG31710	-1.15	-1.82
CG13088	0.46	0.58
CG30089	1.99	0.95
Bace	-0.92	0.58
CG30026	0.83	0.41
pcs	0.72	0.04
CG14669	0.58	-1.20
spn-E	0.31	-0.63
CG17145	-1.99	0.83
Oscillin	1.51	0.81
CG9664	-1.46	0.36
Ero1L	-0.75	0.70
CG4552	0.48	0.56
Amy-p	-1.00	0.45
Eaat2	-1.08	0.86
Eig71Ee	-1.64	-1.30
Pex3	-0.72	0.57
CG32643	-0.76	0.87
RpL10	1.32	-4.28
ade5	0.55	-1.02
Sec24AB	-0.86	-1.18
CG14372	-1.63	0.20
Tal	-0.48	-1.83
CG10845	-0.88	0.84
CG1319	0.33	0.88
CG9640	-1.21	0.26
Sec63	1.17	-0.71
DCP1	-1.22	-0.81
CG30471	-0.69	-1.49
TwdlO	-1.63	0.41
arm	-1.53	-0.66
yrt	1.04	-0.98
Herp	-0.79	0.31
Cyp4d14	-1.43	0.96
Or47b	-0.25	-0.33
snRNP-U1-70K	-2.01	2.20
Arf79F	1.06	-1.84
ltd	-1.06	0.71
crok	-1.31	-0.66
Tengl3	0.26	0.55
CG31548	-0.88	-0.20
Ir87a	-1.04	0.02
CG8036	0.69	1.08
Nup154	-0.49	-0.59
CG2064	-1.51	0.59
CG8834	-0.98	0.47
CG1421	-0.25	0.86
CG33223	2.59	-0.42
CG32061	0.42	0.60
dp	-2.23	-1.49
Rpn11	1.13	-2.00
CG6938	-0.32	0.08
CG5614	-1.20	0.72
Arpc3B	2.43	0.45
CG7271	-1.09	0.42
CG11384	-0.37	-1.66
CG9452	-1.00	1.05
Su(var)205	0.53	0.93
CG8180	-1.09	-1.54
CG31477	-1.74	-1.91
Vago	0.49	1.07
CG5458	0.41	0.39
CG3513	0.90	0.94
CG33129	-1.15	-0.94
CG13018	0.72	0.77
Plap	0.71	-0.89
Vha36-1	-0.39	-1.32
CG2540	-0.90	1.05
CG33475	-1.05	-0.28
CG11109	-0.30	0.47
Ice1	1.47	-0.75
CG13833	-0.31	0.59
CG4813	-0.84	0.41
pirk	0.52	0.50
Top2	0.40	-0.85
CG31464	0.78	0.89
NimB2	-1.13	-0.70
Rbp4	0.40	0.34
Graf	0.76	0.53
CG6980	1.20	0.63
CG9903	-1.76	-1.24
CG2911	-0.89	-0.70
Or13a	0.93	0.69
Hr78	0.20	0.73
pix	-0.44	-1.35
CG14282	-1.25	0.41
Rrp1	-1.95	-1.52
CG11899	-0.66	0.87
Mon1	-1.42	-0.93
Crz	-1.13	-0.50
CG9140	0.68	0.08
Cyp305a1	-0.74	0.35
nrv1	0.70	0.86
CG6404	-1.56	0.40
CG31867	0.75	0.59
CG8613	0.15	0.22
Aats-glupro	0.69	-1.02
spas	2.36	1.34
CG18404	-1.16	0.63
CG15458	-0.60	-0.98
CG2121	-0.84	-0.55
Rab9	0.98	1.23
didum	1.09	-0.49
Taf8	-0.95	-0.71
CG15767	0.34	0.73
CG16879	-1.64	-1.30
CG8892	-0.45	0.78
CR32690	1.67	1.19
CG9948	0.71	0.31
CG11447	0.62	0.80
CG1344	-0.70	-0.25
oaf	0.70	0.80
CG8607	-0.71	0.92
CG8564	2.05	0.52
sll	-1.51	0.70
CG42382	0.83	0.58
CG14451	0.21	0.99
CG2256	-0.94	0.27
Dnz1	-0.97	1.03
Hsp60	-0.33	1.00
Fancd2	1.54	0.62
CG15209	-1.08	0.05
Phlpp	-0.97	-0.61
Atu	-1.21	-1.56
CG11353	0.76	1.04
CG3281	-2.05	0.54
CG30415	-2.68	-1.21
CG4914	0.50	0.67
CG1988	1.35	0.33
Cap-G	1.68	-1.31
pgant6	0.96	1.21
Ugt36Bc	-1.55	0.93
Cpr78Cc	0.77	1.40
CG15279	-1.17	-0.62
CG8460	0.54	1.01
CG12362	-1.89	0.54
CG11342	-1.49	0.90
CG34129	0.49	-1.31
CG6971	-2.08	0.33
Lcp4	1.50	0.70
CG13606	-0.69	1.52
CG31068	-1.17	0.61
CG9723	-1.53	0.67
l(2)37Bb	-1.07	1.29
Ir7e	-0.70	0.52
CG34038	0.89	1.85
CG30105	-0.68	-0.70
CG11671	-0.69	-0.25
Abd-B	-0.86	0.69
inaD	1.47	1.37
Pgi	0.46	0.74
CG13449	-0.89	-0.98
CG11023	2.13	-0.96
CG9114	-1.47	-0.69
SCAR	-0.61	0.60
Or59a	-0.68	-0.67
CG34434	-0.69	0.41
CG34171	0.58	0.43
CR17567	-0.80	-0.98
CG14402	1.36	-0.09
Dat	1.13	0.41
CG33914	-1.19	-0.95
dpr3	-1.73	0.93
Rat1	-0.75	0.51
CG9577	0.78	0.70
CG7763	0.86	0.64
CG15308	-1.25	0.45
TwdlW	-0.68	0.64
CG42714	1.87	-0.98
c-cup	-0.64	-1.55
CG15766	-1.14	0.17
CG31111	2.89	-2.01
FK506-bp2	-1.46	0.41
Opbp	1.11	1.67
Tsp42Ef	-0.86	-0.59
CG11885	0.07	-0.53
rtet	1.31	0.15
tw	0.45	0.86
Cp18	-0.46	1.04
CG18417	-0.71	0.21
CG1597	-1.53	0.15
Cul5	-0.89	1.32
otp	2.15	0.85
CG18081	-1.04	0.50
CG3348	1.86	-0.48
CG6511	-0.66	1.32
CG3292	0.45	-0.75
CG31002	-1.33	0.27
CG7091	-1.40	-0.51
Invadolysin	-0.92	-0.24
betaTub60D	1.75	1.44
betaNACtes1	-1.63	-0.25
CG10462	-1.16	1.26
CG3592	0.34	0.27
CG7971	1.68	0.74
CG5862	0.65	-2.33
CG5877	-1.20	-1.53
CG12679	-1.02	-0.34
CG8012	1.14	0.51
NT1	1.42	-1.46
Or42a	0.55	-0.63
CG12531	-1.94	-0.78
mle	-0.59	1.22
mRpL12	1.12	1.00
CG14230	1.66	1.17
CG11155	-1.23	1.65
CG13926	1.63	-0.42
CG7433	-0.67	-0.26
Aats-val	0.43	0.14
CG31415	-0.85	-0.61
fkh	1.50	-0.37
CG30122	0.77	1.23
CR10991	1.29	-0.51
Rhp	-0.50	0.64
tra	1.00	-0.49
p24-1	1.20	-0.14
Vps29	0.89	0.67
CG16978	0.20	-0.38
CG32238	-0.52	-0.41
MICAL-like	1.32	1.15
tou	-1.88	-1.95
CG11697	-0.76	0.59
CG4820	1.21	-1.38
CG14984	2.23	0.35
Cpr49Aa	-1.09	0.47
Ugt86Dd	-1.04	0.85
CG2924	-0.15	-1.10
Gr58a	-0.86	-1.29
msps	0.51	-0.46
CG9717	-0.57	0.70
p120ctn	-1.02	0.60
MED27	-0.08	-1.00
CG13403	-1.07	-0.60
Cht2	1.44	0.23
Kr	0.81	0.74
CG6614	-1.00	0.89
CG32633	-1.92	-0.52
CG13679	-0.94	0.32
CG2310	-0.30	0.32
f-cup	0.20	3.41
T-cp1	2.11	-1.37
CG12164	0.81	1.59
CG11231	-0.09	0.22
Oda	-1.28	-0.57
CG14570	0.89	0.91
Blos3	3.03	1.71
l(2)34Fd	-1.03	0.55
CG11391	0.27	0.15
AcCoAS	-1.13	-2.06
Ntf-2	-0.92	0.77
blue	0.55	0.58
Pepck	0.84	-0.17
Kaz-m1	0.21	-1.43
Lgr1	-1.61	-0.22
AGBE	1.12	-0.90
RhoGAP102A	-1.04	-1.72
CG5235	1.93	0.19
Kah	-0.20	0.85
Mmp2	-0.77	0.49
CG17242	0.32	-0.54
CG7265	0.04	1.47
Cyp308a1	-1.52	-0.85
CG33286	1.02	0.42
Snx6	0.16	0.38
CG14285	-1.43	-0.11
betaggt-I	0.61	-0.51
14-3-3zeta	0.56	-0.53
CG12069	0.66	-0.38
Mur29B	1.21	1.09
CG10979	-1.06	0.15
CG6607	0.38	0.84
loqs	-1.57	-1.08
icln	1.51	0.24
CG15082	0.61	0.68
sbr	1.45	1.59
pdgy	1.28	-1.53
rk	-0.88	0.34
CG17028	-0.34	0.79
CG6443	-0.96	1.17
aPKC	-0.51	1.39
CG15040	4.58	1.69
spheroide	-1.63	-0.83
CG17944	0.49	1.20
LanB1	0.54	0.99
su(w[a])	0.44	-2.15
CG12439	-0.11	1.22
NimC1	0.94	0.72
Art9	0.48	0.18
Rcd6	-1.21	0.65
CG31235	-1.46	0.58
CG7974	0.76	-0.55
CG17350	0.68	1.21
CG14305	0.50	-0.06
SrpRbeta	0.23	0.71
CG5478	0.39	0.44
BBS1	1.31	1.13
CG2124	-0.73	0.86
CG32811	0.95	-0.47
piwi	0.31	0.20
CG7011	1.05	0.44
CG5010	-0.41	-0.48
Best2	-0.64	0.42
CG13144	1.74	1.54
CG11964	-0.19	-0.40
zen2	-0.83	0.97
lectin-33A	-1.96	-1.37
CR41601	-0.73	1.30
unc-13	-1.36	-1.29
NPF	0.96	0.56
CG13385	0.84	0.94
CG34460	-1.79	-0.66
CG10000	1.20	0.62
CG7988	-1.28	0.73
CG5050	0.73	-1.03
Gr39b	-1.71	1.71
obst-B	-0.94	0.68
CG15905	-0.87	0.48
Tango7	3.08	-2.55
Capr	0.66	1.69
CG15353	-0.66	0.81
Nup214	0.50	-0.84
pug	-0.50	-0.83
fax	0.63	-2.00
CG17930	-1.14	0.95
Bzd	-1.45	0.45
swi2	-0.88	-0.70
CG4896	0.32	-1.32
CG11134	1.83	-0.26
Est-6	0.17	0.53
Rif1	0.66	-0.73
CG34447	-0.41	-1.43
CG12376	1.10	0.67
CG12237	-1.45	-1.69
CG15550	1.16	-0.50
CG9184	1.22	1.52
CG33213	1.33	-0.13
dj	0.98	-0.58
Bet1	1.18	-1.42
CG5267	0.52	0.13
Chd1	-0.79	1.66
vig	-1.51	1.47
CG8199	-1.01	-2.25
Prp8	3.17	0.10
SkpA	-0.61	0.57
CG32371	0.54	-0.47
CG30403	1.75	0.35
CG12333	-1.21	-0.76
fs(1)Yb	0.59	1.36
CG10827	1.51	-0.79
CG30093	0.57	0.33
CG10264	0.35	-0.05
CG14085	-0.73	-0.88
sowah	0.72	0.90
Obp56c	2.39	-0.94
Or85d	-1.39	0.13
CG18493	-1.07	0.42
CG15475	-1.12	-0.83
CG15731	-1.18	-1.05
CG1236	-2.02	0.49
CG31550	-1.31	-1.17
CG32772	-1.16	-0.94
CG13992	-0.51	0.98
CG30392	0.38	1.37
AOX4	-0.90	2.64
CG16837	0.75	-1.66
CG8176	-1.70	1.28
CG7551	0.28	0.21
CG34292	-0.95	-1.24
SMC3	-0.45	0.72
Aldh-III	-0.50	-0.41
dmGlut	-1.33	2.02
CG13784	-1.92	-1.69
E(spl)m6-BFM	0.58	-0.14
CG6796	-0.53	0.27
CG3321	-1.18	-1.05
Osi22	-0.73	-0.50
inaF-C	-1.36	-0.34
qsm	-2.14	-0.53
CG12522	2.01	-0.36
CG11158	0.82	0.95
CG9400	-1.21	0.55
Kdm4B	1.81	0.38
CG7406	-0.45	-0.48
dgt2	1.72	-1.16
Sod2	1.06	0.31
CG34167	0.53	-0.41
CG14764	-1.10	-1.39
CG31391	1.70	-1.38
CG13689	-1.69	0.41
CG8209	-0.78	1.46
CG11423	1.38	0.23
CG12814	1.21	-1.41
Art2	-2.07	-0.35
Or43b	-1.07	-0.73
CG18301	-0.09	0.82
CG10510	-1.23	-1.63
Zip102B	-1.27	1.18
Dmtn	0.44	-0.84
Rpn10	-0.94	-1.12
CG14963	0.32	0.35
CG6171	0.57	-1.39
CG6683	-0.82	0.81
CG13428	-0.31	0.33
kune	0.26	0.71
CG5757	-0.60	0.78
GABA-B-R3	-1.00	0.26
RunxA	0.34	0.46
Srp9	-0.58	1.24
CG4783	-1.43	0.40
CG6126	-1.39	-0.61
CG34299	0.97	-0.88
VAChT	0.18	0.42
dtr	-0.56	0.29
simj	0.13	0.60
Arpc1	0.15	0.32
CG14427	-0.51	0.74
GstE1	-0.38	0.10
CG34242	0.77	1.39
alpha-Man-I	-1.03	0.49
CG3808	-2.00	-0.18
CG2816	1.28	0.92
CG8258	1.02	-0.18
CG31875	-1.66	-1.48
CG15011	1.04	-0.32
CG13361	-0.95	-0.62
sun	1.36	-1.49
CG8317	-1.22	-0.87
Or59b	-0.17	-0.86
CG12288	0.92	1.38
CG31199	0.52	-0.26
CG13251	0.30	0.10
Cpr64Ad	0.57	-0.78
CG5807	1.37	-0.65
CG3323	-0.45	0.82
shtd	1.09	0.53
Rab10	0.91	-1.76
dve	0.33	-0.75
CG4511	-0.43	0.55
CG17005	-0.97	0.69
CG3704	-1.41	-0.51
CG42268	-0.51	-0.43
CG7546	1.59	1.54
mam	1.15	-4.34
CG16826	-1.13	-1.81
fal	-0.08	1.15
CG12400	-0.82	0.80
CG5539	1.17	-1.18
CG11857	2.35	-0.21
Jra	-0.74	1.63
CG14506	-1.29	0.54
lqfR	-1.04	-1.47
Jafrac2	0.46	0.54
beat-IIIc	0.63	-1.65
dhd	-0.77	-0.37
Uch-L5R	0.91	0.54
4E-T	1.14	-1.25
CG3814	0.69	0.49
CG5377	0.82	-0.75
CG32988	-1.64	1.23
Sec22	-0.77	-1.87
Lig4	-0.30	-0.20
CG13902	-0.98	0.20
CG14926	-1.52	0.38
CG1463	1.80	1.60
Or82a	-0.95	-0.25
CG14105	0.53	0.32
ocn	-1.06	0.87
DJ-1alpha	0.69	0.47
CDC45L	1.34	-1.02
CG31087	-0.59	-1.19
Rpn1	-1.44	-1.08
CG8866	-1.33	-0.91
CG5549	1.51	-1.00
CG10131	0.55	0.79
CG10566	0.47	0.39
Syt14	-0.84	0.37
dpr2	-1.01	-0.97
CG4593	1.30	0.74
cln3	-0.40	0.70
CG11836	0.40	-0.56
mab-21	-0.58	-1.16
CG14297	-1.06	-0.51
Tim17a2	-1.85	0.78
pr	7.93	-1.02
Dh44	0.55	0.14
Pdi	1.55	-0.70
Irbp	-0.71	0.45
dpr11	-1.31	0.53
CG34310	-0.11	1.34
CG7675	0.54	-1.84
CG18048	1.69	0.53
Marf	-1.03	0.57
CG7512	-1.25	0.47
CG31638	0.23	1.50
Adgf-D	0.47	-0.60
thetaTry	-0.34	0.22
EF-G2	-1.91	-0.94
CG4723	0.81	-0.44
CG14332	0.59	1.27
Trissin	-0.22	-0.41
Cyp303a1	0.22	0.53
ovo	-1.64	-0.94
fand	-0.70	1.43
ZAP3	1.03	0.83
dib	-0.69	0.42
CG12498	0.82	0.33
CHORD	-0.52	0.93
Elo68beta	-0.69	-0.29
Atx-1	-0.08	0.75
CG6472	-1.01	-2.59
CG14591	0.73	-0.42
CG34347	2.01	-0.36
Der-1	-1.29	1.40
Updo	-0.48	-1.27
CG8494	-0.90	1.57
CG8417	0.62	-0.49
hh	-0.70	-0.44
SIFaR	0.95	0.51
CG17036	-1.00	-1.93
CG8335	0.19	0.85
Hayan	3.30	0.69
Girdin	-0.48	-0.27
CG18549	-0.25	-1.98
CG12858	-0.95	0.68
CG31446	0.84	-1.38
Rbm13	0.98	-1.04
ArfGAP1	-0.63	0.64
CG7600	0.79	0.62
beat-IV	-1.61	1.24
CheB53a	0.84	1.07
CG30020	1.13	-1.02
CG33268	-0.46	-0.25
CG32388	-1.32	0.82
Decay	0.58	3.03
CG5860	-0.50	-1.02
CG34196	-1.79	-0.53
Rab2	0.27	-2.14
CG9570	-1.05	0.33
CG10657	2.11	-0.62
onecut	-0.85	-0.26
128up	-0.82	-0.83
RpS6	3.33	-3.96
CG42552	-0.63	1.05
sna	1.27	-1.33
mRpS26	0.31	2.05
Bre1	-2.45	1.23
Ggamma1	0.87	0.47
lectin-21Ca	13.58	-0.59
Ugt35b	0.51	-0.74
Prp38	-1.16	1.25
RSG7	-0.59	1.05
CG9541	-0.44	0.83
CG18643	-1.34	-1.81
CG7006	2.25	0.80
klar	-1.19	2.12
CG17187	0.66	0.98
Cpr51A	-0.89	0.16
pxb	-1.69	3.06
Sodh-2	0.52	-1.02
CG1647	0.26	0.79
CG42238	0.73	0.62
Or56a	0.49	-0.65
Trxr-2	1.23	-0.60
Nlg4	-1.49	-1.35
Snx1	-0.56	1.18
CG40045	1.47	0.54
CG7992	-0.25	-0.36
Spp	-0.34	-0.75
GstD11	-0.71	0.40
Psf1	-0.94	0.98
CG14629	1.23	0.69
myo	-0.46	0.74
CG13614	-0.49	0.36
CG7914	-0.32	0.28
CG6808	1.05	1.21
CG3557	-1.04	-0.13
CG10137	2.64	-1.71
CG17726	-0.44	0.64
CG14817	-1.03	0.50
Lrr47	-2.18	-0.32
Rga	-0.28	-0.29
CG4452	-1.22	0.98
Inos	1.19	-0.60
RpL34b	-0.98	-1.34
CG5440	0.33	-0.76
Dcr-2	-1.04	1.21
CG34227	-1.52	0.58
GstT1	0.34	0.57
CG17328	-2.07	-1.52
CG12970	-1.68	0.57
plum	0.75	-0.65
Ir94b	-1.98	-1.48
Sbp2	0.61	1.30
CG33093	-0.70	-1.02
Tret1-2	1.92	0.57
CG33290	1.20	0.85
Ccp84Ac	-1.03	0.24
CG32855	1.99	-1.24
CG31918	0.39	0.63
Lk	-0.97	0.68
CG14855	-1.05	1.02
CG42535	0.86	-0.94
CG8051	0.80	-0.66
Liprin-alpha	0.61	-0.30
CG9034	-1.16	0.32
CG13217	-1.60	0.40
eg	-0.49	-0.76
CG32137	-0.63	-0.22
CG7094	1.13	1.04
Or2a	0.90	-0.48
Or7a	0.56	0.77
svr	1.57	1.14
CG12147	1.21	1.00
CG31189	-1.04	1.04
scny	-0.35	1.22
Cpr62Ba	0.67	0.28
CG31324	0.90	0.54
CG11608	0.33	1.00
nab	-1.33	0.99
Pbgs	-0.51	0.52
CG3376	-0.64	-1.27
nec	-0.53	0.77
PPO2	0.84	0.27
CG11147	0.71	1.60
CG8353	-0.97	0.85
CG2135	-0.96	0.85
M6	-0.28	-0.08
Mid1	1.50	1.13
Tango6	1.55	-0.61
Dpt	-0.26	0.77
GNBP3	0.60	0.55
CG30499	-1.46	1.22
fray	1.02	-0.44
Oxp	0.96	1.27
Cont	-0.61	0.55
CG30270	0.85	0.80
CG2104	-1.33	0.33
CG4661	-0.53	0.39
nAChRalpha3	0.68	0.93
GstD7	-1.75	-1.57
Spn53F	-0.78	0.21
CG32333	-1.66	1.27
Tap42	-1.41	-1.82
CG15382	-0.48	1.87
Nup37	0.82	0.14
Tusp	-1.46	0.90
CG32603	-1.71	-1.21
CG5190	0.83	0.59
CG7949	-1.42	-1.10
CG4169	-1.04	0.50
Mgat1	-1.82	1.15
CG30289	-0.11	0.68
Prosalpha6T	-0.92	0.22
CG9072	-0.78	-0.49
Su(z)12	0.94	0.28
rogdi	9.91031984367451e-03	-0.19
CG10924	-0.77	0.31
CG14086	-0.26	-0.53
stil	0.80	1.70
Mf	0.59	-0.15
CG9384	0.07	0.18
CG8321	-0.57	0.39
Vha16-3	0.43	-0.54
CG4701	0.50	-2.35
ranshi	1.00	0.78
CG8083	-1.13	0.27
CG3984	0.51	-0.52
mRpL13	-0.37	0.28
Btd	-0.47	0.99
Past1	0.86	1.16
SMSr	1.59	-0.47
CG13907	0.34	-1.10
CG11779	0.46	-1.73
loco	-0.69	1.63
CG42525	-0.62	-0.73
CG11668	-0.62	-0.40
RpS7	5.08	-3.27
ng4	-0.41	0.55
CheB42c	-0.99	-0.26
CG1544	0.50	1.47
CG3123	-0.13	-1.06
CG33082	0.93	1.25
CG31248	0.97	0.78
CG9899	0.58	0.58
CG3770	2.21	1.41
CG2022	1.57	-0.22
CG13000	1.33	1.07
CG13073	0.70	0.49
Vps45	-0.92	-1.09
CG6506	-0.91	-0.75
CG30376	0.92	1.00
CG13599	-0.88	-0.88
ine	1.54	0.71
CG32055	0.55	2.08
CG15818	-0.09	0.63
CG5375	-2.14	0.59
CG12637	-1.35	-0.61
CG10713	0.40	0.68
mRpL46	-0.50	-1.88
CR34046	0.55	0.55
TwdlH	-1.38	0.54
CG18063	0.87	0.70
CG9164	0.23	-0.51
fu12	0.68	-0.15
CG3328	0.18	0.86
CG30283	-0.70	-0.42
VhaSFD	-1.11	-0.40
CG1983	1.26	0.40
CG7311	1.26	-1.22
CG15362	0.86	-0.45
l(1)10Bb	0.46	1.22
CG10205	0.60	-0.51
yip3	-1.42	0.08
CG32442	1.29	1.19
pio	1.19	0.75
CG7045	1.43	-1.06
Manf	-0.80	-0.92
cerv	-0.87	-0.42
ninaD	-1.51	-1.05
CG15721	-0.58	-0.22
CG17224	-2.00	0.41
Hsp23	-0.15	-1.44
LSm7	1.77	2.51
CG42594	0.45	-0.11
CG5897	-0.30	0.25
CG1648	-0.95	-0.45
CG7714	-0.61	0.26
CG1785	-0.85	-1.10
Rcd1	-1.07	-4.62
CG7519	0.23	0.91
aft	-1.99	-0.59
CG17387	-1.07	-0.08
Cul3	1.97	0.69
dlg1	-1.24	-0.75
Drip	-1.18	-0.52
